Place,Temp_Jan,Temp_Jul,Language,Altitude,MeasureDate,Population
Stockholm,"-1,6","18,8",Swedish,0,np.nan,1515017
Oslo,"-2,9","17,7",Norwegian,23,01-01-2016,942084
Helsinki,"-3,9","17,8",Finnish,np.nan,31-03-2016,1231595
Lulea,"-5,1","20,7",Swedish,6,31-12-2014,75966
Edinburgh,7,"19,1",English,47,np.nan,1339380
Birmingham,"6,7","21,3",English,140,np.nan,2440986
Cork,"5,6","15,3",English,np.nan,np.nan,208669
Antwerp,"3,4","18,5",Dutch,np.nan,01-01-2016,517042
Lille,"3,6","18,6",French,np.nan,np.nan,1015744
Bordeaux,"6,6","21,4",French,np.nan,np.nan,851071
Malaga,"12,1","25,5",Spanish,11,np.nan,569130
Porto,"9,5","20,6",Portuguese,0,np.nan,1774000
Venice,"3,3",23,Italian,1,np.nan,264579
Ajaccio,9,"22,9",French,38,np.nan,68587
